distribution, operations, algorithm, threshold, iterations, seed, n_server,  Real_time, Simulation_time, RAM_Usage
exponential, true, 1, -1, 5000,12345,3,0,419,-1.0
exponential, true, 1, -1, 5000,12345,3,0,411,-1.0
exponential, true, 1, -1, 5000,12345,3,0,408,-1.0
exponential, true, 1, -1, 5000,12345,3,0,409,-1.0
exponential, true, 1, -1, 5000,12345,3,0,406,-1.0
exponential, true, 1, -1, 5000,12345,3,0,422,-1.0
exponential, true, 1, -1, 5000,12345,3,0,409,-1.0
exponential, true, 1, -1, 5000,12345,3,0,419,-1.0
exponential, true, 1, -1, 5000,12345,3,0,414,-1.0
exponential, true, 1, -1, 5000,12345,3,0,405,-1.0
exponential, true, 1, -1, 5000,12345,3,0,409,-1.0
exponential, true, 1, -1, 5000,12345,3,0,424,-1.0
exponential, true, 1, -1, 5000,12345,3,0,404,-1.0
exponential, true, 1, -1, 5000,12345,3,0,404,-1.0
exponential, true, 1, -1, 5000,12345,3,0,418,-1.0
exponential, true, 1, -1, 5000,12345,3,0,412,-1.0
exponential, true, 1, -1, 5000,12345,3,0,408,-1.0
exponential, true, 1, -1, 5000,12345,3,0,403,-1.0
