distribution, operations, algorithm, threshold, iterations, seed, n_server, Global_sys_throughput, Cloud_throughput, Cloudlet_throughput, Global_class1_throughput, Cloud_class1_throughput, Cloudlet_class1_throughput,Global_class2_throughput, Cloud_class2_throughput, Cloudlet_class2_throughput
exponential, true, 1, -1, 250,12345,3,10.65617057570544,9.67580288274054,0.9803676929649005,4.987087829430146,4.5182163240991065,0.46887150533103933,5.6690827462752935,5.157586558641433,0.5114961876338611
exponential, true, 1, -1, 250,12345,3,10.767617928333786,9.690856135500407,1.0767617928333786,5.168456605600217,4.6946814167535305,0.4737751888466866,5.599161322733569,4.996174718746877,0.602986603986692
exponential, true, 1, -1, 250,12345,3,10.755595863110866,9.852125810609554,0.9034700525013127,4.775484563221225,4.431305495601677,0.3441790676195477,5.980111299889642,5.420820315007877,0.559290984881765
exponential, true, 1, -1, 250,12345,3,10.537940379687036,9.526298103237082,1.0116422764499555,5.268970189843518,4.847452574656037,0.4215176151874815,5.268970189843519,4.678845528581045,0.5901246612624741
exponential, true, 1, -1, 250,12345,3,11.212821285113204,10.001836586320978,1.210984698792226,5.157897791152074,4.5748310843261875,0.5830667068258866,6.05492349396113,5.427005501994791,0.6279179919663394
exponential, true, 1, -1, 300,12345,3,11.397405859595379,10.371639332231794,1.025766527363584,6.344555928508094,5.774685635528325,0.5698702929797689,5.052849931087284,4.596953696703469,0.4558962343838151
exponential, true, 1, -1, 300,12345,3,9.713894731906793,8.677745960503401,1.0361487714033912,4.856947365953396,4.403632278464412,0.45331508748898364,4.856947365953396,4.274113682038989,0.5828336839144075
exponential, true, 1, -1, 300,12345,3,11.164307282019708,10.159519626637934,1.0047876553817736,5.619367998616586,4.986723919302136,0.6326440793144501,5.544939283403122,5.172795707335798,0.3721435760673236
exponential, true, 1, -1, 300,12345,3,9.815975007607378,8.605338090002467,1.2106369176049099,4.8425476704196395,4.2208692532711725,0.6216784171484673,4.973427337187738,4.384468836731296,0.5889585004564427
exponential, true, 1, -1, 300,12345,3,8.115200439877887,7.520085740953509,0.5951146989243784,3.9493975474072385,3.7329922023438282,0.21640534506341033,4.165802892470649,3.787093538609681,0.3787093538609681
exponential, true, 1, -1, 300,12345,3,10.071300187277247,8.862744164803978,1.2085560224732697,4.800653089268822,4.162804077407929,0.6378490118608924,5.270647098008427,4.699940087396049,0.5707070106123774
exponential, true, 1, -1, 300,12345,3,11.979006471810965,10.821035846202571,1.1579706256083933,6.189153343768998,5.670063063323856,0.5190902804451418,5.789853128041966,5.150972782878715,0.6388803451632514
exponential, true, 1, -1, 300,12345,3,10.253258231195169,9.398820045262237,0.8544381859329306,4.545611149163191,4.101303292478067,0.4443078566851239,5.7076470820319765,5.29751675278417,0.4101303292478067
exponential, true, 1, -1, 300,12345,3,12.22710199727087,11.371204857461908,0.8558971398089609,5.6244669187446,5.053868825538626,0.5705980932059739,6.602635078526269,6.317336031923283,0.28529904660298694
exponential, true, 1, -1, 300,12345,3,10.71010379777379,9.74619445597415,0.9639093417996412,5.033748784953682,4.6767453250278885,0.357003459925793,5.6763550128201095,5.0694491309462615,0.6069058818738482
exponential, true, 1, -1, 300,12345,3,10.179309973484866,8.855999676931834,1.3233102965530326,4.987861887007584,4.241379155618694,0.7464827313888902,5.1914480864772825,4.61462052131314,0.5768275651641425
exponential, true, 1, -1, 300,12345,3,11.304686254678954,10.513358216851428,0.7913280378275268,5.463931689761495,4.936379664543144,0.5275520252183512,5.84075456491746,5.576978552308284,0.2637760126091756
exponential, true, 1, -1, 300,12345,3,11.910094153956457,10.719084738560811,1.1910094153956456,5.637444566206057,4.9625392308151905,0.674905335390866,6.272649587750401,5.756545507745621,0.5161040800047798
exponential, true, 1, -1, 300,12345,3,11.572136194443042,10.530643936943168,1.0414922574998737,5.59319916064747,5.1688875001845584,0.4243116604629115,5.978937033795572,5.3617564367586095,0.6171805970369622
exponential, true, 1, -1, 300,12345,3,10.78818546065984,9.997051860211451,0.7911336004483883,4.890644075499127,4.6029591298815316,0.2876849456175957,5.897541385160713,5.39409273032992,0.5034486548307925
exponential, true, 1, -1, 300,12345,3,10.476171933201456,9.288872447438624,1.1872994857628318,5.133324247268714,4.6793567968299845,0.4539674504387298,5.3428476859327425,4.609515650608641,0.733332035324102
exponential, true, 1, -1, 300,12345,3,10.69189062977564,9.765260108528418,0.9266305212472222,5.2033867731574786,4.668792241668696,0.534594531488782,5.488503856618163,5.096467866859722,0.3920359897584402
exponential, true, 1, -1, 300,12345,3,10.92285823634759,10.01262004998529,0.9102381863622991,5.570657700537271,5.279381480901335,0.2912762196359357,5.352200535810319,4.733238569083955,0.6189619667263634
exponential, true, 1, -1, 300,12345,3,10.506458967940183,9.630920720611835,0.8755382473283485,5.2182079540769575,4.727906535573082,0.4903014185038752,5.288251013863225,4.903014185038752,0.38523682882447335
exponential, true, 1, -1, 300,12345,3,12.25907167073587,10.82884664248335,1.430225028252518,6.333853696546865,5.5165822518311405,0.8172714447157245,5.925217974189002,5.312264390652209,0.6129535835367934
exponential, true, 1, -1, 350,12345,3,11.00689604846787,10.031999541317859,0.9748965071500113,6.100965238293619,5.566344573082323,0.5346206652112965,4.905930810174251,4.465654968235536,0.4402758419387148
exponential, true, 1, -1, 350,12345,3,11.926788606002262,10.904492439773497,1.0222961662287653,5.622628914258208,5.111480831143826,0.5111480831143826,6.3041596917440526,5.79301160862967,0.5111480831143826
exponential, true, 1, -1, 350,12345,3,11.477551830830658,10.493761673902316,0.9837901569283422,6.263463999110445,5.60760389449155,0.6558601046188948,5.214087831720214,4.886157779410766,0.3279300523094474
exponential, true, 1, -1, 350,12345,3,11.052478226994237,9.631445312094979,1.421032914899259,4.989404456757399,4.389412781577712,0.5999916751796872,6.06307377023684,5.2420325305172675,0.821041239719572
exponential, true, 1, -1, 350,12345,3,11.646923742736567,10.715169843317641,0.9317538994189254,5.6570772464720465,5.124646446804089,0.5324307996679574,5.98984649626452,5.590523396513552,0.399323099750968
exponential, true, 1, -1, 350,12345,3,11.83611715946527,10.551053010723326,1.2850641487419436,6.15478092292194,5.512248848550969,0.6425320743709718,5.68133623654333,5.038804162172358,0.6425320743709718
exponential, true, 1, -1, 350,12345,3,11.877217434799642,10.825235319145959,1.0519821156536826,5.327780392181554,4.8187567878329975,0.5090236043485561,6.549437042618088,6.006478531312961,0.5429585113051265
exponential, true, 1, -1, 350,12345,3,10.237967027153674,9.331175661891491,0.9067913652621825,4.592459495037504,4.124438145224765,0.46802134981273935,5.645507532116168,5.206737516666725,0.4387700154494431
exponential, true, 1, -1, 350,12345,3,10.82989813954209,9.623138061135972,1.2067600784061185,5.35306393754509,4.796097747511497,0.5569661900335932,5.476834201997,4.827040313624474,0.6497938883725254
exponential, true, 1, -1, 350,12345,3,10.406827748461973,9.336411180048742,1.0704165684132316,5.084478699962849,4.549270415756234,0.5352082842066158,5.322349048499123,4.7871407642925075,0.5352082842066158
exponential, true, 1, -1, 350,12345,3,11.429344296187514,10.58030729132787,0.849037004859644,5.551395801005364,5.0615667597401846,0.4898290412651792,5.8779484951821495,5.518740531587685,0.3592079635944647
exponential, true, 1, -1, 350,12345,3,11.524171108445389,10.56931121660277,0.9548598918426179,5.366971116218853,5.037709084548984,0.3292620316698682,6.157199992226537,5.531602132053787,0.6255978601727497
exponential, true, 1, -1, 350,12345,3,10.36736448496456,9.478733243396169,0.8886312415683909,4.768987663083698,4.383914125070729,0.3850735380129694,5.598376821880863,5.094819118325441,0.5035577035554215
exponential, true, 1, -1, 350,12345,3,12.21969144391252,11.067549107772196,1.1521423361403231,5.935278701328937,5.5163178518233655,0.4189608495055721,6.284412742583581,5.55123125594883,0.7331814866347511
exponential, true, 1, -1, 350,12345,3,8.002556502647657,7.499538665338376,0.5030178373092813,4.184193828527203,3.9326849098725627,0.25150891865464065,3.8183626741204533,3.5668537554658126,0.25150891865464065
exponential, true, 1, -1, 350,12345,3,11.110399214823286,10.062847288854233,1.0475519259690527,5.396479618628453,4.825087659008969,0.5713919596194832,5.713919596194832,5.237759629845263,0.47615996634956936
exponential, true, 1, -1, 350,12345,3,9.483993891539418,8.860760007238257,0.6232338843011618,4.877482572791701,4.498122817130124,0.37935975566157676,4.606511318747717,4.362637190108132,0.24387412863958505
exponential, true, 1, -1, 350,12345,3,11.330403299036206,10.39159845425892,0.9388048447772855,4.98537745157593,4.59690648132326,0.3884709702526699,6.345025847460275,5.794691972935659,0.5503338745246157
exponential, true, 1, -1, 350,12345,3,12.202681061958993,11.017277758797261,1.1854033031617306,5.194855652091113,4.497559591407742,0.6972960606833709,7.007825409867878,6.519718167389518,0.4881072424783597
exponential, true, 1, -1, 350,12345,3,9.800528680536368,8.792474301966914,1.0080543785694551,4.900264340268184,4.312232619436002,0.5880317208321821,4.900264340268184,4.480241682530911,0.42002265773727293
exponential, true, 1, -1, 400,12345,3,11.184760987577341,10.122208693757495,1.0625522938198475,6.235504250574369,5.592380493788672,0.6431237567856972,4.949256737002974,4.529828199968824,0.41942853703415034
exponential, true, 1, -1, 400,12345,3,12.159420327475157,11.125869599639769,1.0335507278353884,5.745326104732012,5.380543494907757,0.3647826098242547,6.414094222743145,5.745326104732012,0.6687681180111336
